drift_event_id,is_anomaly,anomaly_type,gt_severity,gt_explanation
DRF00878,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00801,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00918,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00660,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00628,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00574,True,STALE_TEMPORARY,Medium,'Emergency Fix' change unresolved for 364 days.
DRF00550,True,LOGGING_DISABLED,Critical,Audit logging weakened on Control-66 — monitoring blind spot.
DRF00572,True,PROTECTION_DISABLED,High,Endpoint control disabled vs baseline and unresolved.
DRF00684,True,STALE_TEMPORARY,Medium,'Troubleshooting' change unresolved for 363 days.
DRF00949,True,STALE_TEMPORARY,Medium,'Emergency Fix' change unresolved for 362 days.
DRF00635,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00847,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00581,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-1 — attack surface increased.
DRF00560,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-48 — exposure risk.
DRF00638,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00895,True,LOGGING_DISABLED,Critical,Audit logging weakened on Control-65 — monitoring blind spot.
DRF00659,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00561,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-55 — attack surface increased.
DRF00718,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-48 — exposure risk.
DRF00741,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00837,True,STALE_TEMPORARY,Medium,'Troubleshooting' change unresolved for 356 days.
DRF00715,True,STALE_TEMPORARY,Medium,'Troubleshooting' change unresolved for 356 days.
DRF00709,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00809,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00633,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00661,True,STALE_TEMPORARY,Medium,'Troubleshooting' change unresolved for 354 days.
DRF00816,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00727,True,PROTECTION_DISABLED,High,Cloud_Security control disabled vs baseline and unresolved.
DRF00534,True,STALE_TEMPORARY,Medium,'Troubleshooting' change unresolved for 352 days.
DRF00699,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-98 — attack surface increased.
DRF00605,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00806,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00898,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-48 — attack surface increased.
DRF00924,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-61 — attack surface increased.
DRF00862,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00698,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00555,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00587,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00848,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00675,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00773,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00645,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00513,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-21 — exposure risk.
DRF00526,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00728,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00789,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00763,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00948,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-56 — attack surface increased.
DRF00761,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00721,True,ACCESS_BROADENED,High,Boundary/auth control weakened on Control-42 — attack surface increased.
DRF00977,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00632,True,STALE_TEMPORARY,Medium,'Troubleshooting' change unresolved for 341 days.
DRF00600,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00881,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00689,False,BENIGN,None,Routine approved change consistent with baseline.
DRF00649,True,ENCRYPTION_WEAKENED,Critical,Data protection weakened on Control-35 — exposure risk.
DRF00662,True,LOGGING_DISABLED,Critical,Audit logging weakened on Control-35 — monitoring blind spot.
DRF00855,False,BENIGN,None,Routine approved change consistent with baseline.
